typo,orig,historique
RUE DE L'OUEST,Voisinage de la gare Montparnasse.,Les parcelles de voies publiques au droit du n° 54 ont été déclassées par arr. mun. du 3 janvier 1984.
BOULEVARD PERIPHERIQUE,Situation périphérique de cette voie par rapport à Paris.,"Les principales étapes de sa réalisation ont été les suivantes : 1°) tronçon sud : entre les portes d'Italie et de Châtillon (1960) ; entre les portes de Châtillon et de Vanves (1962) ; entre les portes de Vanves et de la Plaine (1963) ; entre les portes de la Plaine et de Sèvres (1964) ; entre la porte de Sèvres et la Seine (1965) ; entre la Seine et la porte du Point du Jour (sup.) (1967) ; entre les portes d'Italie et d'Ivry (1968) ; entre les portes du Point du Jour (sup.) et de Saint-Cloud (1970). 2°) tronçon nord : entre les portes de Saint-Ouen et de la Chapelle (1966) ; entre les portes de la Villette et du Pré Saint-Gervais (1966) ; entre les portes de la Chapelle et de la Villette (1967) ; entre les portes du Pré Saint-Gervais et de Montreuil (1969) ; entre les portes de Saint-Ouen et d'Asnières (1969) ; entre les portes de Saint-Cloud et Molitor (1971) ; entre les portes Molitor et Dauphine (1972). 3°) achèvement : ces deux tronçons ont été réunis en mars 1970 entre la porte d'Ivry et la porte de Montreuil. Le boulevard Périphérique a été complètement achevé au début de l'année 1973, après raccord entre la porte Dauphine et la porte d'Asnière. Pour sa gestion, il est divisé en trois sections : Est, entre l'échangeur d'Ivry et la porte de Saint-Ouen ; Nord, entre la porte de Saint-Ouen et la Seine dans le XVIe ; Sud, entre la Seine (XVIe) et la porte d'Ivry. Il a absorbé, en 1966, une partie de l'avenue du Belvédère, précédemment rue du Belvédère et, anciennement, partie de la rue Rabelais. Une bretelle de raccordement sise entre la rue Jean-Baptiste Berlier et la rue Bruneseau, dans le XIIIe ardt, déclassée par arr. mun. du 25 octobre 1985, a été supprimée."
ROUTE DE LA MENAGERIE,,Située autrefois sur les territoires de Fontenay-sous-Bois et Nogent-sur-Marne annexés à Paris par décret du 18 avril 1929.
RUE RUHMKORFF,"Henri Daniel Ruhmkorff (1803-1877), physicien allemand.",Précédemment rue de la porte Maillot.
RUE DE VALENCIENNES,Ville du département du Nord ; voisinage de la gare du Nord.,"Précédemment, rue du Delta."
RUE MEHUL,"Etienne Nicolas Méhul (1763-1817), compositeur français ; voisinage de l'ancienne salle Vendatour.",
AVENUE DE VALOIS,"Ainsi nommée en l'honneur du duc de Valois, fils aîné du duc d'Orléans (Louis-Philippe) ; voisinage du parc de Monceau qui appartenait au duc d'Orléans.","Créée près de l'ancienne rue de Valois du Roule, réunie aujourd'hui à la rue de Monceau."
RUE DE L'ABBAYE,"L'abbaye Saint-Germain des Prés, fondée par Childebert en 543.","Ouverte sur les terrains de l'abbaye Saint-Germain des Prés ; dénommée successivement : rue de la Paix (1802), rue Neuve de l'Abbaye (1809), rue de l'Abbaye (1815). En 1951, la partie qui était comprise entre les rues Bonaparte et Saint-Benoît a pris le nom de rue Guillaume Apollinaire."
RUE MARSOLLIER,"Benoît Joseph Marsollier des Vivetières (1759-1817), auteur de livrets d'opéras comiques ; voisinage de l'ancienne salle Ventadour.",
RUE DE FURSTEMBERG,"Ouverte devant le palais abbatial construit par le cardinal de Furstemberg, abbé de Saint-Germain des Près.","Cette voie était construite en 1699 ; elle s'est appelée rue de la Paroisse, puis rue Wertingen de 1791 à 1815."
RUE TOURNUS,"M. Tournus, propriétaire.",
RUE FAUVET,Nom de propriétaire.,
RUE ALEXANDRE CABANEL,"Alexandre Cabanel (1823-1889), peintre français.",Un arrêté du 18 avril 1890 l'avait dénommée rue Cabanel. Précédemment partie des chemins de ronde de l'Ecole Militaire et des Paillassons qui étaient situés à l'intérieur de l'ancien mur d'Octroi.
RUE JOSEPHINE,,
PASSAGE SINGER,Voisinage de la rue Singer.,Précédemment passage Amavet.
RUE DES EAUX,Voisinage de la source ferrugineuse de Passy.,"Précédemment, passage des Eaux ; il est figuré sur le plan de Roussel (1730)."
RUE DESIRE RUGGIERI,Ouverte sur les terrains de l'artificier Ruggieri.,
TERRASSE DE CHAMPAGNE,Grand vignoble français.,Voie créée dans le cadre de l'aménagement de la partie est de la Zac `Bercy`. Voie située dans les anciens entrepôts de Bercy.
RUE SAINT-DENIS,Ancienne route de Saint-Denis.,"Ancienne voie romaine (chemin de Flandre) conduisant à Saint-Denis. Bordée de maisons dès 1134, elle a porté les noms de la Sellerie de Paris et de la Sellerie de la Grande Rue (XIIIe siècle) ; grand'rue de Paris ; grande rue ou rue des Saints Innocents et grant chaussée de Monsieur ou grant chaussée de Monseigneur Saint-Denis (XIVe siècle). Pendant la Révolution, on l'appelait rue de Franciade."
VOIE AX/16,,Bretelle de liaison aménagée à l'occasion de la création du boulevard Périphérique.
RUE THEODORE DECK,"Joseph Théodore Deck (1823-1891), céramiste, administrateur de la manufacture de Sèvres.","La partie A de cette voie a englobé une partie de la rue du Clos Feuquières. Précédemment rue Théodore Deck Prolongée, antérieurement impasse Beer pour la partie B. Antérieurement voie DG/15 pour la partie C."
RUE VINEUSE,Ancienne plantation de vignes.,Elle est tracée sur le plan de Roussel (1730).
IMPASSE DELIGNY,"M. Deligny, propriétaire.",
AVENUE DU RANELAGH,Située dans le jardin du Ranelagh.,Située autrefois sur le territoire de l'ancienne commune de Passy. Ouverte par la Ville de Paris sur des terrains détachés du Bois de Boulogne.
RUE LOUIS BOILLY,"Louis Boilly (1761-1845), peintre et graveur français.",
PASSAGE BERZELIUS,"Jean Jacques Berzélius (1779-1848), chimiste suédois ; quartier où ont été groupés des noms de savants ; voisinage de la rue Berzélius.",
RUE LEO DELIBES,"Clément Philibert Léo Delibes (1836-1891), compositeur français.",
AVENUE DE LA PELOUSE,,
AVENUE DE LA FRILLIERE,"La Frillière, résidence du propriétaire à Génillé (Indre-et-Loire).",
AVENUE EDOUARD VAILLANT,"Edouard Vaillant (1840-1915), conseiller municipal et député de Paris.","Précédemment, partie de la route nationale n° 10 située autrefois sur le territoire de Boulogne-Billancourt annexé à Paris par décret du 3 avril 1925. L'assiette de cette partie a été transformée lors de la création du boulevard Périphérique en 1970."
PORT DE LA GARE,Longe le quai de la Gare.,"En 1905, une partie du port de la Gare a pris le nom de port de Tolbiac."
PONT SAINT-MICHEL,Voisinage de la chapelle Saint-Michel du Palais.,"Construit en 1378, reconstruit plusieurs fois et en dernier lieu en 1857. On lui avait d'abord donné le nom de Petit Pont, puis celui de Petit Pont Neuf, et ensuite de Pont Neuf."
RUE BOUCHER,"Boucher, échevin de 1773 à 1778.",Un décret du 24 février 1882 a supprimé une partie de la voie qui était comprise entre les rues de la Monnaie et du Pont Neuf.
VILLA MOLITOR,Voisinage de la rue Molitor.,
RUE D'OUESSANT,"Ile située dans l'Atlantique, sur la côte du Finistère.",
AVENUE DU COLONEL BONNET,"Colonel Bonnet mort à son poste de commandant de la place de Soisson, le 27 novembre 1914.","Précédemment, avenue Mercédés."
RUE EDOUARD ROBERT,Nom de propriétaire.,"Précédemment, rue du Biberon Robert."
PASSAGE LANDRIEU,Nom de propriétaire.,
RUE DE L'ARBALETE,Ancien tir à l'arbalète.,Précédemment cul-de-sac des Patriarches entre les rues des Patriarches et Mouffetard. La partie comprise entre les rues Mouffetard et Berthollet s'est appelée rue des Sept Voies (XIVe siècle) et rue de la Porte de l'Arbalète (milieu du XVIe siècle).
RUE LE BUA,Lieu-dit.,"Précédemment, rue de la Demi Lune, situé autrefois sur le territoire de l'ancienne commune de Charonne. Elle a fait partie de la route départementale n° 40. Cette route fut rectifiée à la suite d'une ordonnance royale du 25 mai 1847."
BOULEVARD MAILLOT,"Conduisait à l'ancienne porte Maillot. Altération de ""porte Mahiaux"" de la commune de Villiers (1680).",La partie du boulevard Maillot située entre la porte Maillot et la limite du territoire de Neuilly-sur-Seine a été dénommée boulevard André Maurois par arrêté du 28 avril 1978.
VOIE CJ/16,,Bretelle de liaison aménagée à l'occasion de la création du Boulevard Périphérique.
RUE DES BOIS,"Souvenir du bois des Rigones, qui existait au XIVe siècle.",Cette voie est indiquée sur le plan de Roussel (1730) et sur le plan cadastral de la commune de Belleville dressé en 1812.
ROUTE DE LA TERRASSE,,"Située autrefois sur le territoire de Saint-Maurice, annexé à Paris par décret du 18 avril 1929."
PASSAGE DES MAUXINS,Lieu-dit les Mauxins ou les Mossins.,
VOIE CD/16,,Bretelle de liaison aménagée à l'occasion de la création du boulevard Périphérique.
RUE DU PONCEAU,Dû à un petit pont sur lequel on traversait le grand égout.,"Ancien passage du grand égout converti en rue en 1605. On l'a appelée rue des Egouts, rue de l'Egout du Ponceau, rue des Egouts du Ponceau. Un tronçon de cette voie, qui était compris entre les rues de Palestro et Saint-Martin, a été supprimé par l'ouverture du boulevard de Sébastopol (déc. du 29 septembre 1854)."
GALERIE DE CHARTRES,"Galerie neuve du Palais Royal, ainsi nommée en l'honneur du duc de Chartres, puis duc d'Orléans, fils du roi Louis-Philippe.",
RUE SCHUTZENBERGER,"Paul Schutzenberger (1829-1897), mathématicien français, directeur de l'Ecole de Physique et de Chimie industrielles de la Ville de Paris, membre de l'Académie des Sciences et de l'Académie de Médecine.",
RUE DES POITEVINS,,"Cette rue s'étendait autrefois jusqu'à la rue Serpente ; le tronçon compris entre la rue Serpente et la rue Danton a été supprimé lors de l'ouverture de cette dernière rue (décret du 6 avril 1895). Elle fut dénommée rue Gui le Queux (1253), Guidonis ad Pictavinas (1288), Grimaud ad Pictavinas (1291), Guiart as Poitevins (1292), Ginart aux Poitevins (1300), Gérard aux Poitevins (1358), grant rue des Poitevins, rue Poitevine (1448). La partie en retour sur la rue Serpente, supprimée par l'ouverture de la rue Danton, avait porté les noms de rue du Pet (1396), rue du Petit Pet (1560) et, d'après Corrozet (1532), rue du Gros Pet."
VOIE DN/13,,Bretelle de liaison aménagée à l'occasion de la création du boulevard Périphérique.
ROUTE DE LA LONGUE QUEUE,,Située autrefois sur le territoire de Neuilly-sur-Seine annexé à Paris par décret du 18 avril 1929.
RUE DES PAVILLONS,"Faisait partie de l'ancien fief de Maulny, anciennement dénommé le Pavillon.",Un arrêté de déclassement du 25 mai 1970 portant sur une longueur de 50 m environ à partir de la rue Pixérécourt a été annulé par l'arrêté municipal du 7 juin 1993. Cette voie est indiquée sur le plan de Roussel (1730).
VOIE AR/14,,Bretelle de liaison aménagée à l'occasion de la création du boulevard Périphérique.
RUE FEUTRIER,Nom de propriétaire.,"La partie entre les rues André del Sarte et Muller, 5-7, est tracée sur le cadastre de la commune de Montmartre dressée en 1825."
ROUTE DU POINT DU JOUR A BAGATELLE,,Située autrefois sur les territoires de Boulogne-Billancourt et Neuilly-sur-Seine annexés à Paris par décrets des 3 avril 1925 et 18 avril 1929.
RUE DU PUITS DE L'ERMITE,Voisinage d'un puits public ; Adam l'Hermite habitait la rue au XVIIe siècle.,"Ouverte sous le nom de rue Françoise, elle portait ce nom en 1588 ; en 1603, c'était la rue Françoise, dite du Clos du Chardonneret ou Villeneuve Saint-René ou la rue du Clos du Chardonneret. La partie comprise entre la rue Larrey et la rue de la Clef a été appelée rue du Puits de l'Ermite au XVIIe siècle et ce nom s'est étendu à toute l'ancienne rue Françoise au début du XIXe siècle. La partie qui était comprise entre les rues Monge et de l'Epée de Bois est depuis 1891 un tronçon de la rue Pestalozzi."
PASSAGE DU GENIE,,
RUE HENRI DUBOUILLON,"M. Henri Dubouillon, propriétaire.",
RUE CINO DEL DUCA,"Cino Del Duca, (1899, 1967), grand résistant de la dernière guerre (croix de guerre 1939-1945) ; philanthrope, éditeur et mécène.",Voie ouverte dans le cadre de l'aménagement du 9e secteur zonier. Elle avait été provisoirement dénommée AC/17.
COUR DAMOYE,"M. Damoye, propriétaire.",
RUE BARRELET DE RICOU,"Barrelet de Ricou, directeur général de la Lloyd's Bank.","Ouverte sur l'emplacement du stade Bergeyre, dans un lotissement appartenant à M. Pélissier."
PLACE DU COLONEL BOURGOIN,"Pierre Bourgoin (1907-1970), patriote et résistant, élu député du XIIe arrondissement en 1958.",Cette place a englobé une partie de la rue de Charenton.
AVENUE DU BELVEDERE,Belvédère du Pré-Saint-Gervais.,"L'avenue du Belvédère, située autrefois sur le territoire du Pré-Saint-Gervais, a été annexée partiellement à Paris par décret du 27 juillet 1930. Précédemment, avenue du Président Wilson (CGC n° 34 bis), pour le tracé actuel. En 1974, une partie en impasse située avenue de la porte Brunet, supprimée depuis, a été dénommée rue des Marchais. Elle s'appelait précédemment rue du Belvédère et, plus anciennement, avenue de la Paix (partie de l', CGC n° 34 bis). Une autre partie de l'avenue du Belvédère, précédemment rue du Belvédère et, anciennement, partie de la rue Rabelais, absorbée par le boulevard Périphérique en 1966, allait de la rue Rabelais (Pré-Saint-Gervais) à la rue Sigmund Freud. Une partie, allant de l'avenue du Belvédère (Pré-Saint-Gervais) à la rue Alexander Fleming a été déclassée par arr. du 13 août 1969 puis supprimée."
RUE AMBROISE PARE,"Ambroise Paré (1509-1590), chirurgien français ; voisinage de l'hôpital Lariboisière.",
RUE JACQUARD,"Joseph Marie Jacquard (1752-1834), mécanicien français, inventeur du métier qui porte son nom ; quartier industriel.",
RUE GANDON,Nom de propriétaire.,"Précédemment, sentier des Malmaisons (partie A) et ruelle Gandon (partie B)."
RUE DES COLONNES,Voie bordée de galerie à colonnes.,Précédemment passage des Colonnes.
PLACE DU MARCHE SAINTE-CATHERINE,Marché établi sur l'emplacement de l'ancien prieuré de Sainte-Catherine du Val des Ecoliers.,
RUE POULLETIER,"Le Poulletier, l'un des entrepreneurs des premières constructions de l'île Saint-Louis (XVIIe siècle).",Construite vers 1614 ; elle a été appelée rue de la Poulletière ou de la Poulleterie et aussi rue Florentine.
RUE RAMPON,"Le comte Antoine Guillaume Rampon (1759-1842), général de division.",Précédemment rue Delatour ou rue de la Tour.
RUE QUENTIN-BAUCHART,"Quentin-Bauchart (1881-1916), conseiller municipal, mort au champ d'honneur.",Précédemment partie de la rue de Chaillot.
PLACE PAUL-EMILE VICTOR,"Paul-Emile Victor (Genève, 1907-Bora Bora, 1995), ethnologue, explorateur polaire, fondateur en 1974 du groupe ""Paul-Emile Victor pour la Défense de l'Homme et de son Environnement"".","Précédemment dénommée place Jean Henry Dunant, puis place Henry Dunant."
